"Date","Miles"
"12/5/2022",0
"12/6/2022",3
"12/7/2022",3
"12/8/2022",3
"12/9/2022",0
"12/10/2022",4
"12/11/2022",3
"12/12/2022",0
"12/13/2022",3
"12/14/2022",4
"12/15/2022",3
"12/16/2022",0
"12/17/2022",4
"12/18/2022",3
"12/19/2022",0
"12/20/2022",3
"12/21/2022",4
"12/22/2022",3
"12/23/2022",0
"12/24/2022",5
"12/25/2022",3
"12/26/2022",0
"12/27/2022",3
"12/28/2022",5
"12/29/2022",3
"12/30/2022",0
"12/31/2022",6
"1/1/2023",4
"1/2/2023",0
"1/3/2023",4
"1/4/2023",5
"1/5/2023",4
"1/6/2023",0
"1/7/2023",7
"1/8/2023",3
"1/9/2023",0
"1/10/2023",4
"1/11/2023",4
"1/12/2023",4
"1/13/2023",0
"1/14/2023",8
"1/15/2023",4
"1/16/2023",0
"1/17/2023",4
"1/18/2023",6
"1/19/2023",4
"1/20/2023",0
"1/21/2023",9
"1/22/2023",4
"1/23/2023",0
"1/24/2023",4
"1/25/2023",6
"1/26/2023",4
"1/27/2023",0
"1/28/2023",10
"1/29/2023",4
"1/30/2023",0
"1/31/2023",4
"2/1/2023",6
"2/2/2023",4
"2/3/2023",0
"2/4/2023",11
"2/5/2023",3
"2/6/2023",0
"2/7/2023",4
"2/8/2023",5
"2/9/2023",4
"2/10/2023",0
"2/11/2023",12
"2/12/2023",4
"2/13/2023",0
"2/14/2023",4
"2/15/2023",5
"2/16/2023",4
"2/17/2023",0
"2/18/2023",6
"2/19/2023",3
"2/20/2023",0
"2/21/2023",3
"2/22/2023",5
"2/23/2023",3
"2/24/2023",0
"2/25/2023",2
"2/26/2023",13.1
